lower,median,upper,day,rt
0.38478627031159,0.507191235810699,0.630862363616549,1,0.5677761272548941
0.57516731208943,0.661649603931173,0.746928293064444,2,0.6722354637579996
0.604228529934369,0.734764923759696,0.836882533155805,3,0.7531942798402245
0.615523437684205,0.774741063381784,0.888289249824968,4,0.7994603248424712
0.634889417483735,0.79627353568264,0.907958695940319,5,0.8171628263462871
0.658734818554505,0.805680764747389,0.907512646103758,6,0.8167613814933823
0.683467990118063,0.809281174661157,0.898572874917185,7,0.8087155874254665
0.704796690799587,0.811418403300466,0.89014329958142,8,0.8011289696232781
0.715626316838783,0.808536943707438,0.880756407692975,9,0.7926807669236775
0.708161673878986,0.795106502715592,0.866326829447286,10,0.7796941465025574
0.677331542210053,0.76729880640491,0.84380027533739,11,0.759420247803651
0.628960600707915,0.72809365784123,0.814246777046741,12,0.7328220993420669
0.57159750289502,0.682172879336852,0.779767446556394,13,0.7017907019007545
0.513790902293819,0.634218293204075,0.742463395847405,14,0.6682170562626645
0.46408945242676,0.588911721755199,0.70443573690083106,15,0.6339921632107479
0.427816321164893,0.549417948006275,0.667378678469655,16,0.6006408106226896
0.397392733773658,0.512833597788347,0.631358816394583,17,0.5682229347551248
0.362014429867096,0.474738257636212,0.596035843288247,18,0.5364322589594223
0.318503776983481,0.434289189502867,0.561457791759062,19,0.5053120125831558
0.294189654358031,0.404954357014122,0.52922605439859,20,0.47630344895873106
0.268771607253158,0.377078552659996,0.499840993181371,21,0.4498568938632339
0.243947269839712,0.349468986554785,0.47051893746343,22,0.423467043717087
0.219122932426265,0.321859420449574,0.441196881745488,23,0.3970771935709392
0.194298595012819,0.294249854344363,0.411874826027547,24,0.3706873434247923
0.169474257599372,0.266640288239152,0.382552770309606,25,0.3442974932786454
